"VION 앱 QA 체크리스트 (v2 화면설계서 967:4166 기준, 48개 화면)",,,,,,,,
노란색 칸(결과/비고)은 테스트 진행자가 직접 입력하는 칸입니다. 결과는 드롭다운에서 Pass / Fail / Blocked / 해당없음 중 선택하세요. ★ 10번(리뷰 작성 관련)과 4번(닉네임 불가) 항목 중 디자이너 확인이 필요한 중복 화면 관련 문항이 포함되어 있습니다.,,,,,,,,
No,화면 번호,화면명,테스트 항목,테스트 시나리오 / 확인 내용,구분,우선순위,결과,비고
20,5,피부 진단 설정,필수 항목 미입력 시 시작하기 비활성화,"성별/나이/피부타입/피부고민 중 하나라도 선택하지 않으면 '시작하기' 버튼이 비활성화 상태(회색)로 유지되고, 모두 선택 완료 시에만 활성화(F8845F)되는지 확인한다.",예외·에러 처리,상,,
21,5,피부 진단 설정,피부타입 선택 시 특징 텍스트 노출,건성/지성/중성/복합성/수부지 중 하나를 선택하면 각 타입에 해당하는 특징 설명 텍스트(예: 건성-수분과 유분이 모두 부족한 피부)가 우측에 노출되는지 확인한다.,UI·표시,중,,
22,5,피부 진단 설정,화면 이탈 시 서버 미전송,시작하기 버튼을 누르지 않고 화면을 이탈하면 선택한 성별/나이/피부타입/피부고민 값이 서버로 전송되지 않는지 확인한다.,예외·에러 처리,상,,
23,5-1,피부 진단 설정 - 피부타입 설정,8문항 진단 후 자동 타입 선택,'모르겠어요' 선택 시 8개 질문에 모두 답하면 계산식에 따라 피부 타입이 자동 진단되어 해당 옵션이 선택되고 특징 텍스트가 노출되는지 확인한다.,정상 플로우,중,,
24,6,홈 (배너1),메인 배너 자동 슬라이드/인디케이터,"배너가 2개 이상일 때 5초 간격으로 자동 슬라이드되며 인디케이터가 현재 위치를 표시하고, 수동 스와이프 후에는 해당 배너 기준 5초 후 자동 재생이 재개되는지 확인한다.",UI·표시,중,,
25,6,홈 (배너1),배너 1개일 때 자동슬라이드 비활성화,배너가 1개만 있는 경우 자동 슬라이드와 인디케이터가 노출되지 않는지 확인한다.,예외·에러 처리,하,,현재 배너는 2개 이상이므로 확인 불가능 
26,6,홈 (배너1),제품 카테고리 선택 시 랭킹 이동,토너/크림/클렌징폼 카테고리 선택 시 '개인 맞춤형 랭킹' 화면으로 이동하며 해당 제품군 종합 맞춤 랭킹이 노출되는지 확인한다.,정상 플로우,상,,
27,6,홈 (배너1),찜하기 토글 및 최신순 정렬,"제품 카드의 빈 하트를 클릭하면 꽉 찬 하트로 바뀌며 찜 목록에 최신순으로 추가되고, 다시 클릭하면 찜이 해제되는지 확인한다.",정상 플로우,상,,
28,6,홈 (배너1),사용감 태그 개수별 노출 로직,"제품 카드의 사용감 태그가 0개면 태그와 캐럿이 모두 노출되지 않고, 1~2개면 캐럿 없이 전체 노출되며, 3개 이상이면 2개+캐럿(∨)만 노출되고 캐럿 클릭 시 카드가 확장되어 전체 태그가 노출되는지 확인한다.",UI·표시,중,,
29,6-1,홈 (피부타입 미설정 사용자),피부 미설정 강제 모달,"약관 동의는 완료했으나 피부 진단을 하지 않은 사용자가 홈에 진입하면 반투명 오버레이와 '잠깐만요! 정보 입력을 완료해야 서비스를 이용할 수 있어요' 모달이 노출되고, 딤 처리된 배경 영역은 클릭이 비활성화되며 입력하기 버튼 클릭 시 '피부 진단 설정'으로 이동하는지 확인한다.",예외·에러 처리,상,,
30,7,개인 맞춤형 랭킹,카테고리 변경 시 랭킹기준 유지,토너/크림/클렌징폼 카테고리를 변경해도 현재 적용 중인 랭킹 기준(예: 종합 맞춤 랭킹)은 유지된 채 해당 카테고리의 랭킹만 갱신되는지 확인한다.,정상 플로우,상,,
31,7,개인 맞춤형 랭킹,랭킹 업데이트 일자 노출,'업데이트 YYYY.MM.DD' 형식의 최근 업데이트 일자가 노출되고 데이터 갱신 시 값이 변경되는지 확인한다.,UI·표시,하,,
32,7,개인 맞춤형 랭킹,랭킹 리스트 스크롤(최대 30개),스크롤 시 순위가 높은 순으로 최대 30개까지 연속 노출되는지 확인한다.,UI·표시,중,,
33,7-1,개인 맞춤형 랭킹(아코디언 오픈),카드별 개별 아코디언 토글,"제품 카드의 아코디언 아이콘 클릭 시 해당 카드만 확장되어 태그 정보가 전체 노출되고, 다른 카드의 펼침 상태에는 영향을 주지 않으며 리스트와 함께 스크롤되는지 확인한다.",UI·표시,중,,
34,7-2,개인 맞춤형 랭킹(랭킹 선택),랭킹 카드 선택 시 자동 적용,랭킹 기준 카드를 선택하면 테두리가 강조되고 0.3초 후 자동으로 적용되며 바텀시트가 닫히고 타이틀·리스트가 갱신되는지 확인한다.,정상 플로우,상,,
35,7-2,개인 맞춤형 랭킹(랭킹 선택),미선택 후 닫기 시 기존 기준 유지,랭킹 기준을 선택하지 않고 외부 영역 탭 또는 아래로 스와이프하여 바텀시트를 닫으면 기존 적용 중이던 랭킹 기준이 그대로 유지되는지 확인한다.,예외·에러 처리,중,,
36,7-3,개인 맞춤형 랭킹(필터),초기화 버튼 동작,"초기화 버튼 클릭 시 정렬 기준이 '맞춤순', 가격대가 '0원~50,000원 이상'으로 즉시 초기화되지만 적용하기를 누르기 전까지는 실제 리스트에는 반영되지 않는지 확인한다.",정상 플로우,중,,
37,7-3,개인 맞춤형 랭킹(필터),정렬 기준 단일 선택 및 적용,맞춤순/평점순/리뷰순 중 하나만 선택 가능하며 적용하기 클릭 전까지 리스트에 반영되지 않는지 확인한다.,정상 플로우,중,,
38,7-3,개인 맞춤형 랭킹(필터),가격대 슬라이더 최저구간 자동보정,"가격 슬라이더의 최소·최대 핸들을 모두 10,000원 위치로 이동시키면 즉시 '0원~10,000원' 구간(0원 이상~10,000원 이하 필터)으로 자동 전환되는지 확인한다.",예외·에러 처리,상,,
39,7-3,개인 맞춤형 랭킹(필터),가격대 슬라이더 최고구간 보정 및 역전 방지,"최소·최대 핸들을 모두 50,000원 위치로 이동하면 '50,000원 이상' 텍스트로 전환되고, 최소 핸들을 최대 핸들 위치보다 크게 이동시키려 하면 이동이 제한되는지 확인한다.",예외·에러 처리,상,,
40,7-4,랭킹 동기화 오류 화면,데이터 로드 실패 시 오류화면 대체,랭킹 데이터 로드에 실패하면 기존 리스트/필터 영역이 노출되지 않고 경고 아이콘과 '랭킹을 불러오지 못했어요' 오류 화면으로 완전히 대체되는지 확인한다.,예외·에러 처리,상,,
41,7-4,랭킹 동기화 오류 화면,다시 시도 재요청 및 조건 유지,"다시 시도 버튼 클릭 시 재요청 중에는 버튼이 비활성화되어 중복 요청이 방지되고, 성공 시 오류 발생 전 선택했던 랭킹 기준·카테고리가 그대로 유지된 채 정상 리스트가 노출되며, 재실패 시 오류 상태와 버튼 재활성화가 유지되는지 확인한다.",예외·에러 처리,상,,
42,8-a,제품 검색(최근 검색 없음),최근 검색어 없음 문구,검색 이력이 없는 사용자가 검색 화면에 진입하면 '최근 검색어가 없습니다' 문구가 노출되는지 확인한다.,예외·에러 처리,중,,
43,8-b,제품 검색,자동완성 텍스트 강조,등록된 제품명과 일부 일치하는 검색어를 입력하면 검색 영역 하단에 자동완성 텍스트가 노출되고 겹치는 부분(입력한 문자열)이 강조 표시되는지 확인한다. (예: '독' 입력 시 '독도 토너'에서 '독'이 강조),정상 플로우,중,,
44,8-b,제품 검색,최근검색어 개별/전체 삭제,"최근 검색어는 최대 3개까지 노출되며, 개별 삭제 아이콘으로 항목별 삭제와 전체 삭제 아이콘으로 입력 중인 검색어 전체 삭제가 각각 정상 동작하는지 확인한다.",정상 플로우,중,,
45,8-1,제품 검색 결과,검색결과 최대 3개 미리보기,검색된 제품이 3개를 초과해도 미리보기 카드는 최대 3개까지만 노출되는지 확인한다.,UI·표시,중,,
46,8-1,제품 검색 결과,맞춤랭킹 보러가기 버튼 노출조건,검색 결과 카드가 1개 이상 노출될 때만 '내 맞춤 랭킹 보러가기' 버튼이 노출되고 클릭 시 '개인 맞춤 랭킹' 화면으로 이동하는지 확인한다.,정상 플로우,중,,
47,8-2,제품 검색 결과 없음,검색 결과 없음 안내,일치하는 제품이 없는 검색어 입력 시 아이콘과 함께 '일치하는 제품이 없어요' 문구가 노출되는지 확인한다.,예외·에러 처리,중,,
48,8-3,제품 검색 결과(자동완성),자동완성 결과 화면 일치 여부,8-3 화면에서도 검색시 겹치는 검색어 텍스트가 강조되어 자동완성 노출되는지 확인한다.,UI·표시,하,,
49,9-1,제품 상세페이지-상품 정보,상품정보/리뷰 탭 전환,제품 정보 영역의 별점을 클릭하면 리뷰 탭으로 화면이 전환되는지 확인한다.,정상 플로우,중,,
50,9-1,제품 상세페이지-상품 정보,찜하기 아이콘 동작(중복 배치 포함),상단/하단 두 곳에 배치된 찜하기 아이콘이 동일한 찜 상태를 공유하며 하나를 클릭해도 다른 하나에 동일하게 반영되는지 확인한다.,정상 플로우,상,,
51,9-1,제품 상세페이지-상품 정보,공유 팝업(카카오톡/URL복사),"공유 아이콘 클릭 시 팝업이 노출되고, 카카오톡 아이콘 클릭 시 대화상대 선택 화면으로 이동해 바로 전송 가능하며, URL 클릭 시 링크가 클립보드에 복사되고, X 클릭 시 팝업이 닫히는지 확인한다.",정상 플로우,중,,
52,9-1,제품 상세페이지-상품 정보,바로구매 버튼 비활성화 토스트,'바로구매' 버튼은 비활성화 상태이며 클릭(터치) 시 '아직 구현 되지 않은 영역입니다' 토스트가 노출되는지 확인한다.,예외·에러 처리,상,,
53,9-1,제품 상세페이지-상품 정보,장바구니 담긴 갯수 실시간 반영,장바구니에 제품을 담은 후 상세페이지로 돌아오면 장바구니 아이콘 우측 상단에 담긴 제품 갯수가 실시간으로 갱신되어 노출되는지 확인한다.,정상 플로우,상,,
54,9-2,제품 상세페이지-리뷰,평균 별점/리뷰수/분포 그래프,"리뷰 탭 진입 시 반영된 평균 별점, 총 리뷰 수, 별점별 리뷰 수 분포 그래프가 정확한 값으로 노출되는지 확인한다.",UI·표시,중,,
55,9-2,제품 상세페이지-리뷰,리뷰 작성 이탈 확인 팝업,"플로팅 리뷰 작성 아이콘으로 진입한 리뷰 작성 화면에서 내용을 입력한 뒤 이탈을 시도하면 '리뷰 작성 화면을 나갈까요? 입력하신 내용은 저장되지 않습니다' 팝업이 노출되고, 계속하기 선택 시 작성 화면이 유지, 나가기 선택 시 저장 없이 이탈되는지 확인한다.",예외·에러 처리,상,,
56,9-2,제품 상세페이지-리뷰,리뷰 더보기/닫기 아코디언,"3줄을 초과하는 리뷰는 3줄까지만 노출되고 '더보기>' 클릭 시 전체 내용과 전체 피부고민 태그가 펼쳐지며 문구가 '닫기'로 바뀌고, '닫기' 클릭 시 다시 3줄로 접히는지 확인한다.",UI·표시,중,,
57,9-2,제품 상세페이지-리뷰,내 타입만 보기 토글,'내 타입만 보기' 토글을 OFF로 전환하면 안내 텍스트가 '나와 같은 피부 타입을 가진 사용자들의 리뷰에요'에서 '전체 리뷰에요'로 바뀌고 노출되는 리뷰 목록도 전체 리뷰로 변경되는지 확인한다.,정상 플로우,상,,
58,9-3,제품 상세페이지-더보기 클릭,더보기 상태 전체 태그 노출,리뷰 카드를 '더보기'로 펼친 상태에서 선택된 피부 고민 태그가 생략(···) 없이 전체 노출되는지 확인한다.,UI·표시,하,,
59,9-4,제품 상세페이지-이미지,리뷰 사진 캐러셀,"리뷰 내 사진 클릭 시 캐러셀 형태로 확대되어 넘겨볼 수 있고, 딤 배경 클릭 시 캐러셀이 닫히는지 확인한다.",정상 플로우,중,,
60,9-5,제품 상세페이지-리뷰(토스트1),리뷰 등록 완료 토스트,리뷰 작성 화면에서 등록 버튼 클릭 시 즉시 반영되며 직전(상세페이지) 화면 하단에 '리뷰가 등록되었습니다' 토스트가 노출되는지 확인한다.,정상 플로우,중,,
61,10,제품 리뷰 작성,별점 필수 등록하기 활성화,"별점을 선택하지 않으면 등록하기 버튼이 비활성화 상태이며, 별점(1~5점 중 1개)을 선택해야만 등록하기 버튼이 활성화되는지 확인한다.",예외·에러 처리,상,,
62,10,제품 리뷰 작성,사진 최대 3장 등록/삭제,"사진을 4장째 등록하려 하면 제한되어 최대 3장까지만 등록 가능하고, 등록된 사진 우측 상단 X 버튼으로 개별 삭제가 가능한지 확인한다.",예외·에러 처리,상,,
63,10,제품 리뷰 작성,취소 버튼 이탈 방지 팝업,리뷰 작성 중 취소 버튼 클릭 시 이탈 방지 팝업이 노출되는지 확인한다.,예외·에러 처리,상,,
64,10,제품 리뷰 작성,사용감 태그 최대 5개 선택,사용감 태그를 6개 이상 선택하려 하면 제한되어 최대 5개까지만 선택 가능한지 확인한다.,예외·에러 처리,중,,
65,10,제품 리뷰 작성,등록 후 이동 분기(신규작성 vs 수정),"신규 리뷰 등록 시 제품 상세페이지로 이동하며 토스트가 노출되고, 기존 리뷰 수정 후 등록 시에는 '내가 쓴 리뷰' 목록 화면으로 이동하는지 확인한다.",정상 플로우,상,,
66,10-1,마이페이지 -> 제품 리뷰 작성전,화면 스펙 내용 불일치 확인 필요,10-1. 마이페이지 -> 제품 리뷰 작성전' 화면의 Description 내용이 실제로는 리뷰 작성과 무관한 제품 검색 화면(검색 영역/최근 검색어/최근 본 제품) 설명으로 채워져 있어 화면명과 내용이 불일치한다. 담당 디자이너에게 이 프레임의 올바른 스펙(리뷰 작성 진입 전 어떤 화면을 의도했는지)을 확인받은 뒤 해당 항목을 재검증한다.,UI·표시,상,,
67,10-2,제품 상세 리뷰 작성 (최종본 추정 - 확인 필요),기존 작성 내용 읽기전용 노출,해당 화면에서 기존에 작성한 별점/사용감 태그/리뷰 텍스트/사진이 읽기 전용으로 정확히 노출되는지 확인한다.,정상 플로우,중,,
68,10-2,제품 상세 리뷰 작성 (최종본 추정 - 확인 필요),수정하기 클릭 시 기존값 유지,수정하기 버튼 클릭 시 제품 리뷰 작성 페이지로 이동하며 기존에 작성했던 별점/태그/텍스트/사진이 그대로 유지된 상태로 노출되는지 확인한다.,정상 플로우,상,,
69,10-2,제품 상세 리뷰 작성 (최종본 추정 - 확인 필요),중복 화면(10 vs 10-2) 확인 필요,10. 제품 리뷰 작성'(작성 폼)과 '10. 제품 상세 리뷰 작성(최종본 추정 - 확인 필요)'(읽기전용 상세)이 동일한 '10.' 번호를 공유하고 있어 최종 확정 플로우가 불명확하다. 담당 디자이너에게 '내가 쓴 리뷰'의 리뷰 카드 클릭 시 이동할 최종 화면이 어느 쪽인지 확인받은 뒤 본격적인 리뷰 상세/수정 플로우 테스트를 진행한다. ,UI·표시,상,,
70,11,찜한 제품 목록,카테고리 버튼 존재 조건,"찜한 제품 목록에 존재하는 카테고리만 버튼으로 노출되고(전체는 항상 노출), 해당 카테고리에 찜한 제품이 1개 이상 있어야 버튼이 노출되는지 확인한다.",UI·표시,중,,
71,11,찜한 제품 목록,카테고리 변경 시 정렬 유지,카테고리를 변경해도 기존에 적용 중이던 정렬 기준이 유지되는지 확인한다.,정상 플로우,중,,
72,11,찜한 제품 목록,마지막 제품 찜해제 시 카테고리 자동 제거,특정 카테고리의 마지막 남은 제품을 찜 해제하면 해당 카테고리 버튼이 목록에서 사라지고 자동으로 '전체' 카테고리로 전환되는지 확인한다.,예외·에러 처리,상,,
73,11-1,찜한 제품 목록 (찜한 제품 없음),찜한 제품 없음 빈 상태,찜한 제품이 0개일 때 '아직 찜한 제품이 없어요' + '마음에 드는 제품을 찜하고 모아보세요' 안내와 홈으로가기 버튼만 노출되고 카테고리 필터·리스트는 노출되지 않는지 확인한다.,예외·에러 처리,중,,
74,12,마이페이지,마이페이지 진입 버튼 전체 이동 검증,프로필 수정/최근 본 제품/장바구니/찜한 제품/내가 쓴 리뷰/피부 진단 수정/리뷰 작성 버튼이 각각 올바른 대상 화면으로 정상 이동하는지 확인한다.,정상 플로우,중,,
75,12,마이페이지,로그아웃/회원탈퇴 버튼 팝업 트리거,로그아웃 버튼과 회원 탈퇴 버튼 클릭 시 각각 대응하는 확인 팝업이 정확히 노출되는지 확인한다.,정상 플로우,상,,
76,12-1,마이페이지 - 프로필 수정,닉네임 수정 규칙 안내 및 저장,"닉네임 수정 필드 하단에 입력 규칙 안내 문구가 노출되고, 규칙에 맞는 닉네임으로 수정 후 저장 버튼 클릭 시 변경사항이 반영되는지 확인한다.",정상 플로우,상,,
77,12-1,마이페이지 - 프로필 수정,아이디 필드 수정 불가,아이디 필드는 노출만 되고 수정이 불가능한(읽기 전용) 상태인지 확인한다.,UI·표시,중,,
78,12-2,마이페이지 - 피부 진단 수정,필수값 검증 및 저장 반영,"성별/나이/피부타입/피부고민 모두 선택해야 저장이 정상 처리되며, 저장 후 값이 실제로 반영되는지 확인한다.",정상 플로우,상,,
79,12-2,마이페이지 - 피부 진단 수정,피부고민 '없음' 포함 최소1~최대3,피부 고민 선택 시 '없음'을 포함하여 최소 1개~최대 3개까지만 선택 가능하며 4개 이상 선택을 시도하면 제한되는지 확인한다.,예외·에러 처리,상,,
80,12-2,마이페이지 - 피부 진단 수정,피부타입 특징 텍스트 노출,피부 타입 옵션 선택 시 우측에 해당 특징 설명 텍스트가 정확히 노출되는지 확인한다.,UI·표시,중,,
81,12-3,로그아웃 팝업,로그아웃 확정 처리,로그아웃 버튼 클릭 시 로그아웃 처리 후 소셜 로그인 화면으로 이동하는지 확인한다.,정상 플로우,상,,
82,12-3,로그아웃 팝업,괜찮아요(취소) 시 마이페이지 유지,괜찮아요 버튼 클릭 시 팝업이 닫히고 마이페이지 화면이 그대로 유지되는지 확인한다.,정상 플로우,중,,
83,12-4,회원 탈퇴 확인 팝업,탈퇴 시 삭제/유지 데이터 안내 정확성,"탈퇴 확인 팝업에 '탈퇴 시 삭제되는 데이터(연동된 소셜 계정 정보)'와 '탈퇴 시 유지되는 데이터(작성 리뷰-닉네임 익명처리, 찜 통계-개인 연결 정보 삭제)' 안내가 정확히 노출되는지 확인한다.",UI·표시,상,,
84,12-4,회원 탈퇴 확인 팝업,탈퇴 확정 시 실제 데이터 처리,"모두 동의하고 탈퇴 희망합니다' 클릭 시 연동된 소셜 계정 연동이 해제되고 계정 데이터가 즉시 삭제되며, 작성했던 리뷰의 닉네임이 '탈퇴한 회원의 리뷰입니다'로 변경되어 리뷰 자체는 유지되는지 확인한다.",정상 플로우,상,,
85,12-4,회원 탈퇴 확인 팝업,탈퇴 취소(딤 클릭) 시 유지,탈퇴 의사가 없을 때 팝업 뒤편 딤 화면을 클릭하면 팝업이 닫히고 마이페이지가 그대로 유지되며 계정 데이터에 어떠한 변경도 발생하지 않는지 확인한다.,예외·에러 처리,상,,
86,13,내가 쓴 리뷰,카테고리 버튼 노출 조건,리뷰를 크림 카테고리에만 작성한 경우 '전체'와 '크림' 버튼만 노출되고 토너/클렌징폼 버튼은 노출되지 않는지 확인한다.,UI·표시,중,,
87,13,내가 쓴 리뷰,필터 오름/내림차순 재클릭 토글,정렬 필터를 재클릭하면 기본 등록순에서 오름차순/내림차순으로 순서가 토글되는지 확인한다.,정상 플로우,중,,
88,13,내가 쓴 리뷰,수정하기 클릭 시 기존 작성내용 유지,리뷰 카드의 수정하기 버튼 클릭 시 리뷰 작성 화면으로 이동하며 기존에 작성했던 내용(별점/태그/텍스트/사진)이 그대로 유지된 채 노출되는지 확인한다.,정상 플로우,상,,
89,13-1,내가 쓴 리뷰(리뷰 미작성 사용자),작성 리뷰 0개 빈 상태,작성한 리뷰가 0개일 때 '아직 등록한 리뷰가 없어요' 안내와 홈으로가기 버튼만 노출되고 카테고리 필터·리스트는 노출되지 않는지 확인한다.,예외·에러 처리,중,,
90,14,최근 본 제품,최근 본 제품 최대 20개 제한,최근 본 제품이 20개를 초과해도 목록에는 최대 20개까지만 노출되는지 확인한다.,예외·에러 처리,중,,
91,14,최근 본 제품,카테고리 변경 시 정렬 유지,카테고리를 변경해도 이전에 적용 중이던 정렬 기준이 유지된 채 해당 카테고리 제품만 재노출되는지 확인한다.,정상 플로우,중,,
92,14-1,최근 본 제품(최근 본 제품이 없는 사용자),최근 본 제품 없음 빈 상태,최근 본 제품이 0개일 때 '아직 살펴본 제품이 없어요' 안내와 홈으로가기 버튼만 노출되고 카테고리 필터·리스트는 노출되지 않는지 확인한다.,예외·에러 처리,중,,
93,15,장바구니,전체 선택/해제 토글,"전체 선택 체크박스를 클릭하면 모든 제품이 선택되고, 재클릭 시 전체 선택이 해제되는지 확인한다.",정상 플로우,상,,
94,15,장바구니,수량 최소 1 제한 및 합산가격,"제품 수량이 1일 때 - 아이콘이 비활성화되어 더 이상 감소하지 않고, + 아이콘 클릭 시 수량이 정상적으로 1씩 증가하며 합산 가격(단가×수량)이 올바르게 갱신되는지 확인한다.",예외·에러 처리,상,,
95,15,장바구니,X버튼/선택삭제 버튼으로 삭제팝업 진입,제품 카드의 X 버튼 또는 상단 선택 삭제 버튼 클릭 시 15-1 선택 삭제 확인 팝업이 노출되는지 확인한다.,정상 플로우,상,,
96,15-1,장바구니 (선택 삭제),선택 삭제 팝업 예/아니오 분기,"'네' 클릭 시 선택된 제품이 실제로 삭제되고 삭제 반영된 장바구니가 노출되며, '아니오' 클릭 시 팝업만 닫히고 장바구니 목록에는 변화가 없는지 확인한다.",정상 플로우,상,,
97,15-2,장바구니 목록에 제품이 없는 사용자,장바구니 빈 상태,장바구니에 담긴 제품이 없을 때 '아직 담은 제품이 없어요' 안내와 홈으로가기 버튼이 노출되는지 확인한다.,예외·에러 처리,중,,
